AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
20,1,1,6,61432,2017
56,1,2,6,61433,2017
28,1,1,6,61434,2017
68,1,2,6,61435,2017
55,1,1,6,61439,2017
21,1,1,6,61440,2017
15,1,1,6,61441,2017
49,1,2,6,61445,2017
67,1,1,6,61470,2017
71,1,1,6,61472,2017
75,1,1,6,61474,2017
42,1,1,6,61475,2017
42,1,1,6,61476,2017
30,1,1,6,61480,2017
85,1,2,6,61481,2017
83,1,2,6,61484,2017
58,1,1,6,61495,2017
22,1,1,6,61496,2017
49,1,1,6,61501,2017
37,1,1,6,61513,2017
60,1,1,6,61521,2017
65,1,1,6,61522,2017
21,1,1,6,61523,2017
21,1,1,6,61525,2017
39,1,1,6,61536,2017
20,1,1,6,61537,2017
33,1,1,6,61538,2017
29,1,1,6,61546,2017
42,1,1,6,61553,2017
61,1,1,6,61558,2017
30,1,1,6,61566,2017
30,2,2,6,61566,2017
29,1,1,6,61568,2017
60,1,2,6,61570,2017
58,1,1,6,61575,2017
83,1,2,6,61576,2017
56,1,2,6,61577,2017
58,1,1,6,61578,2017
57,1,1,6,61579,2017
38,1,2,6,61582,2017
24,1,1,6,61587,2017
75,1,2,6,61596,2017
28,1,1,6,61600,2017
62,1,2,6,61602,2017
12,1,1,6,61606,2017
55,1,1,6,61609,2017
61,1,1,6,61610,2017
30,1,2,6,61615,2017
67,1,2,6,61619,2017
36,1,1,6,61623,2017
24,1,1,6,61624,2017
83,1,1,6,61637,2017
64,1,1,6,61638,2017
40,1,1,6,61642,2017
52,1,1,6,61647,2017
17,1,1,6,61648,2017
12,1,2,6,61652,2017
15,1,1,6,61654,2017
33,1,1,6,61655,2017
25,1,1,6,61656,2017
44,1,2,6,61660,2017
57,1,1,6,61662,2017
71,1,2,6,61666,2017
62,1,1,6,61667,2017
68,1,1,6,61676,2017
57,1,1,6,61684,2017
24,1,2,6,61687,2017
54,1,1,6,61688,2017
48,1,1,6,61692,2017
79,1,1,6,61694,2017
55,1,1,6,61698,2017
47,1,1,6,61708,2017
53,1,1,6,61711,2017
20,1,2,6,61712,2017
49,1,2,6,61716,2017
51,1,2,6,61734,2017
43,1,1,6,61742,2017
70,1,1,6,61743,2017
60,1,1,6,61760,2017
30,1,1,6,61762,2017
62,1,2,6,61767,2017
55,1,1,6,61770,2017
57,1,1,6,61775,2017
54,1,1,6,61778,2017
