A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10179,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10180,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10181,2018
2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,3,0,1,Alabama,10182,2018
1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,0,1,Alabama,10183,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10184,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10185,2018
2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,0,1,Alabama,10186,2018
2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,0,1,Alabama,10187,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10188,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10189,2018
2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10190,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10191,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10192,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10193,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10194,2018
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,1,Alabama,10195,2018
1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,4,1,0,1,Alabama,10196,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10197,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10198,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10199,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10200,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10201,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10202,2018
2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,0,1,Alabama,10203,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10204,2018
3,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10205,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,0,1,Alabama,10206,2018
1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10207,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,1,0,1,Alabama,10208,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10209,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10210,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10211,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10212,2018
2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10213,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,1,0,1,Alabama,10214,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,Alabama,10215,2018
