A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_RELRD,A_RU,FATALS,SCH_BUS,STATE,ST_CASE,YEAR
2,2,2,2,2,2,1,1,1,1,0,1,10306,2015
2,2,2,2,2,2,2,4,1,1,0,1,10307,2015
2,2,2,2,1,1,2,1,2,2,0,1,10308,2015
2,2,2,2,2,2,2,1,1,1,0,1,10309,2015
2,2,2,2,2,2,2,4,2,1,0,1,10310,2015
2,2,2,2,2,2,2,4,2,1,0,1,10311,2015
2,2,2,2,2,2,2,4,1,1,0,1,10312,2015
2,2,2,2,2,2,2,4,2,1,0,1,10313,2015
2,2,2,2,2,2,2,1,2,1,0,1,10314,2015
2,2,2,2,2,2,1,4,1,1,0,1,10315,2015
1,1,1,1,1,2,2,4,1,2,0,1,10316,2015
2,2,2,2,2,2,2,4,1,1,0,1,10317,2015
2,2,2,2,2,2,2,3,1,1,0,1,10318,2015
2,2,2,2,1,1,2,1,1,1,0,1,10319,2015
2,2,2,2,2,2,2,1,1,1,0,1,10320,2015
2,2,2,2,2,2,1,1,1,1,0,1,10321,2015
1,1,1,1,1,2,2,1,1,1,0,1,10322,2015
2,2,2,2,2,2,2,4,1,1,0,1,10323,2015
2,2,2,2,2,2,2,1,2,1,0,1,10324,2015
1,1,1,1,1,2,2,4,1,1,0,1,10325,2015
1,1,1,1,1,2,2,4,1,1,0,1,10326,2015
2,2,2,2,2,2,2,4,1,1,0,1,10327,2015
2,2,2,2,2,2,2,4,1,1,0,1,10328,2015
2,2,2,2,1,1,2,1,2,1,0,1,10329,2015
2,2,2,2,2,2,2,1,1,1,0,1,10330,2015
2,2,2,2,2,2,2,4,2,1,0,1,10331,2015
2,2,2,2,2,2,2,1,1,1,0,1,10332,2015
2,2,2,2,2,2,1,1,1,1,0,1,10333,2015
2,2,2,2,2,2,2,4,1,1,0,1,10334,2015
2,2,2,2,2,2,2,4,1,1,0,1,10335,2015
1,1,1,1,1,2,2,4,1,1,0,1,10336,2015
1,1,1,1,1,2,2,1,1,1,0,1,10337,2015
2,2,2,2,2,2,2,4,1,1,0,1,10338,2015
